budget,genres,id,keywords,original_language,popularity,revenue,runtime,title_x,vote_average,vote_count,title_y,cast,director,release_year,release_month
380000000,"Adventure,Action,Fantasy",1865,"sea,captain,mutiny",en,135.413856,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Pirates of the Caribbean: On Stranger Tides,"Johnny Depp,Penélope Cruz,Ian McShane",Rob Marshall,2011,5
225000000,"Action,Comedy,Science Fiction",41154,"time travel,time machine,alien",en,52.035179,624026776,106.0,Men in Black 3,6.2,4160,Men in Black 3,"Will Smith,Tommy Lee Jones,Josh Brolin",Barry Sonnenfeld,2012,5
250000000,"Action,Adventure,Fantasy",122917,"corruption,elves,dwarves",en,120.965743,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,The Hobbit: The Battle of the Five Armies,"Martin Freeman,Ian McKellen,Richard Armitage",Peter Jackson,2014,12
215000000,"Action,Adventure,Fantasy",1930,"loss of father,vigilante,serum",en,89.866276,752215857,136.0,The Amazing Spider-Man,6.5,6586,The Amazing Spider-Man,"Andrew Garfield,Emma Stone,Rhys Ifans",Marc Webb,2012,6
200000000,"Action,Adventure",20662,"robin hood,archer,knight",en,37.668301,310669540,140.0,Robin Hood,6.2,1398,Robin Hood,"Russell Crowe,Cate Blanchett,Max von Sydow",Ridley Scott,2010,5
250000000,"Adventure,Fantasy",57158,"elves,dwarves,orcs",en,94.370564,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,The Hobbit: The Desolation of Smaug,"Martin Freeman,Ian McKellen,Richard Armitage",Peter Jackson,2013,12
180000000,"Adventure,Fantasy",2268,"england,compass,experiment",en,42.990906,372234864,113.0,The Golden Compass,5.8,1303,The Golden Compass,"Dakota Blue Richards,Nicole Kidman,Daniel Craig",Chris Weitz,2007,12
207000000,"Adventure,Drama,Action",254,"film business,screenplay,show business",en,61.22601,550000000,187.0,King Kong,6.6,2337,King Kong,"Naomi Watts,Jack Black,Adrien Brody",Peter Jackson,2005,12
200000000,"Drama,Romance,Thriller",597,"shipwreck,iceberg,ship",en,100.025899,1845034188,194.0,Titanic,7.5,7562,Titanic,"Kate Winslet,Leonardo DiCaprio,Frances Fisher",James Cameron,1997,11
250000000,"Adventure,Action,Science Fiction",271110,"civil war,war,marvel comic",en,198.372395,1153304495,147.0,Captain America: Civil War,7.1,7241,Captain America: Civil War,"Chris Evans,Robert Downey Jr.,Scarlett Johansson",Anthony Russo,2016,4
209000000,"Thriller,Action,Adventure",44833,"fight,u.s. navy,mind reading",en,64.928382,303025485,131.0,Battleship,5.5,2114,Battleship,"Taylor Kitsch,Alexander Skarsgård,Rihanna",Peter Berg,2012,4
150000000,"Action,Adventure,Science Fiction",135397,"monster,dna,tyrannosaurus rex",en,418.708552,1513528810,124.0,Jurassic World,6.5,8662,Jurassic World,"Chris Pratt,Bryce Dallas Howard,Irrfan Khan",Colin Trevorrow,2015,6
200000000,"Action,Adventure,Thriller",37724,"spy,secret agent,sociopath",en,93.004993,1108561013,143.0,Skyfall,6.9,7604,Skyfall,"Daniel Craig,Judi Dench,Javier Bardem",Sam Mendes,2012,10
200000000,"Action,Adventure,Fantasy",558,"dual identity,love of one's life,pizza boy",en,35.149586,783766341,127.0,Spider-Man 2,6.7,4321,Spider-Man 2,"Tobey Maguire,Kirsten Dunst,James Franco",Sam Raimi,2004,6
200000000,"Action,Adventure,Science Fiction",68721,"terrorist,war on terror,tennessee",en,77.68208,1215439994,130.0,Iron Man 3,6.8,8806,Iron Man 3,"Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle",Shane Black,2013,4
200000000,"Family,Fantasy,Adventure",12155,"based on novel,fictional place,queen",en,78.530105,1025491110,108.0,Alice in Wonderland,6.4,4645,Alice in Wonderland,"Mia Wasikowska,Johnny Depp,Anne Hathaway",Tim Burton,2010,3
210000000,"Adventure,Action,Science Fiction",36668,"mutant,marvel comic,based on comic book",en,3.857526,459359555,104.0,X-Men: The Last Stand,6.3,3525,X-Men: The Last Stand,"Hugh Jackman,Halle Berry,Ian McKellen",Brett Ratner,2006,5
200000000,"Animation,Family",62211,"monster,dormitory,games",en,89.186492,743559607,104.0,Monsters University,7.0,3528,Monsters University,"Billy Crystal,John Goodman,Steve Buscemi",Dan Scanlon,2013,6
150000000,"Science Fiction,Action,Adventure",8373,"egypt,sun,chaos",en,21.939663,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,Transformers: Revenge of the Fallen,"Shia LaBeouf,Megan Fox,Josh Duhamel",Michael Bay,2009,6
210000000,"Science Fiction,Action,Adventure",91314,"sequel,alien,transformers",en,116.840296,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,Transformers: Age of Extinction,"Mark Wahlberg,Stanley Tucci,Kelsey Grammer",Michael Bay,2014,6
200000000,"Fantasy,Adventure,Family",68728,"circus,witch,magic",en,46.985445,491868548,130.0,Oz: The Great and Powerful,5.7,3530,Oz: The Great and Powerful,"James Franco,Mila Kunis,Rachel Weisz",Sam Raimi,2013,3
200000000,"Action,Adventure,Fantasy",102382,"obsession,marvel comic,sequel",en,89.270217,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,The Amazing Spider-Man 2,"Andrew Garfield,Emma Stone,Jamie Foxx",Marc Webb,2014,4
170000000,"Adventure,Action,Science Fiction",20526,"artificial intelligence,secret identity,computer program",en,73.79505,400062763,125.0,TRON: Legacy,6.3,2841,TRON: Legacy,"Garrett Hedlund,Jeff Bridges,Olivia Wilde",Joseph Kosinski,2010,12
200000000,"Animation,Family,Adventure",49013,"car race,sequel,comedy",en,49.98659,559852396,106.0,Cars 2,5.8,2033,Cars 2,"Owen Wilson,Larry the Cable Guy,Michael Caine",John Lasseter,2011,6
200000000,"Adventure,Action,Thriller",44912,"dc comics,transformation,superhero",en,51.872839,219851172,114.0,Green Lantern,5.1,2487,Green Lantern,"Ryan Reynolds,Blake Lively,Peter Sarsgaard",Martin Campbell,2011,6
200000000,"Animation,Family,Comedy",10193,"hostage,college,toy",en,59.995418,1066969703,103.0,Toy Story 3,7.6,4597,Toy Story 3,"Tom Hanks,Tim Allen,Ned Beatty",Lee Unkrich,2010,6
200000000,"Action,Science Fiction,Thriller",534,"saving the world,artificial intelligence,prophecy",en,71.862892,371353001,115.0,Terminator Salvation,5.9,2463,Terminator Salvation,"Christian Bale,Sam Worthington,Anton Yelchin",McG,2009,5
190000000,Action,168259,"car race,speed,revenge",en,102.322217,1506249360,137.0,Furious 7,7.3,4176,Furious 7,"Vin Diesel,Paul Walker,Dwayne Johnson",James Wan,2015,4
200000000,"Action,Drama,Horror",72190,"dystopia,apocalypse,zombie",en,81.834855,531865000,116.0,World War Z,6.7,5560,World War Z,"Brad Pitt,Mireille Enos,Abigail Hargrove",Marc Forster,2013,6
250000000,"Action,Adventure,Fantasy",127585,"1970s,mutant,time travel",en,118.078691,747862775,131.0,X-Men: Days of Future Past,7.5,6032,X-Men: Days of Future Past,"Hugh Jackman,James McAvoy,Michael Fassbender",Bryan Singer,2014,5
190000000,"Action,Adventure,Science Fiction",54138,"spacecraft,friendship,sequel",en,78.291018,467365246,132.0,Star Trek Into Darkness,7.4,4418,Star Trek Into Darkness,"Chris Pine,Zachary Quinto,Zoe Saldana",J.J. Abrams,2013,5
195000000,"Action,Family,Fantasy",81005,"based on fairy tale,giant",en,43.349855,197687603,114.0,Jack the Giant Slayer,5.5,2598,Jack the Giant Slayer,"Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor",Bryan Singer,2013,2
105000000,"Drama,Romance",64682,"based on novel,infidelity,obsession",en,61.196071,351040419,143.0,The Great Gatsby,7.3,3769,The Great Gatsby,"Leonardo DiCaprio,Tobey Maguire,Carey Mulligan",Baz Luhrmann,2013,5
150000000,"Adventure,Fantasy,Action",9543,"persia,sandstorm,brother against brother",en,62.169881,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,Prince of Persia: The Sands of Time,"Jake Gyllenhaal,Gemma Arterton,Ben Kingsley",Mike Newell,2010,5
180000000,"Action,Science Fiction,Adventure",68726,"dystopia,giant robot,giant monster",en,56.523205,407602906,131.0,Pacific Rim,6.7,4794,Pacific Rim,"Idris Elba,Charlie Hunnam,Charlie Day",Guillermo del Toro,2013,7
195000000,"Action,Science Fiction,Adventure",38356,"moon,spacecraft,traitor",en,28.529607,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,Transformers: Dark of the Moon,"Shia LaBeouf,John Malkovich,Ken Jeong",Michael Bay,2011,6
185000000,"Adventure,Action",217,"saving the world,riddle,whip",en,75.674458,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Indiana Jones and the Kingdom of the Crystal Skull,"Harrison Ford,Cate Blanchett,Shia LaBeouf",Steven Spielberg,2008,5
175000000,"Adventure,Animation,Family",105864,"tyrannosaurus rex,friends,alternate history",en,51.692953,331926147,93.0,The Good Dinosaur,6.6,1736,The Good Dinosaur,"Raymond Ochoa,Jack Bright,Jeffrey Wright",Peter Sohn,2015,11
185000000,"Animation,Adventure,Comedy",62177,"scotland,rebel,bravery",en,125.114374,538983207,93.0,Brave,6.7,4641,Brave,"Kelly Macdonald,Julie Walters,Billy Connolly",Brenda Chapman,2012,6
185000000,"Action,Adventure,Science Fiction",188927,"sequel,stranded,hatred",en,65.352913,343471816,122.0,Star Trek Beyond,6.6,2568,Star Trek Beyond,"Chris Pine,Zachary Quinto,Karl Urban",Justin Lin,2016,7
180000000,"Animation,Family",10681,romantic comedy,en,66.390712,521311860,98.0,WALL·E,7.8,6296,WALL·E,"Ben Burtt,Elissa Knight,Jeff Garlin",Andrew Stanton,2008,6
140000000,"Action,Comedy,Crime",5174,ambassador,en,22.57178,258022233,91.0,Rush Hour 3,6.1,783,Rush Hour 3,"Chris Tucker,Jackie Chan,Hiroyuki Sanada",Brett Ratner,2007,8
200000000,"Action,Adventure,Science Fiction",14161,"civilization,natural disaster,end of the world",en,45.274225,769653595,158.0,2012,5.6,4903,2012,"John Cusack,Amanda Peet,Chiwetel Ejiofor",Roland Emmerich,2009,10
200000000,"Animation,Drama",17979,"holiday,based on novel,victorian england",en,39.744242,325233863,96.0,A Christmas Carol,6.6,1095,A Christmas Carol,"Gary Oldman,Jim Carrey,Steve Valentine",Robert Zemeckis,2009,11
176000003,"Science Fiction,Fantasy,Action",76757,"jupiter,space,woman director",en,85.36908,183987723,124.0,Jupiter Ascending,5.2,2768,Jupiter Ascending,"Mila Kunis,Channing Tatum,Sean Bean",Lilly Wachowski,2015,2
180000000,"Action,Adventure",258489,"africa,feral child,tarzan",en,42.741719,356743061,109.0,The Legend of Tarzan,5.5,2430,The Legend of Tarzan,"Alexander Skarsgård,Margot Robbie,Christoph Waltz",David Yates,2016,6
180000000,"Adventure,Family,Fantasy",411,"saving the world,witch,based on novel",en,67.391328,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","William Moseley,Anna Popplewell,Skandar Keynes",Andrew Adamson,2005,12
178000000,Science Fiction,246655,"mutant,supernatural powers,marvel comic",en,139.272042,543934787,144.0,X-Men: Apocalypse,6.4,4721,X-Men: Apocalypse,"James McAvoy,Michael Fassbender,Jennifer Lawrence",Bryan Singer,2016,5
185000000,"Drama,Action,Crime",155,"dc comics,crime fighter,secret identity",en,187.322927,1004558444,152.0,The Dark Knight,8.2,12002,The Dark Knight,"Christian Bale,Heath Ledger,Aaron Eckhart",Christopher Nolan,2008,7
175000000,"Animation,Comedy,Family",14160,"age difference,central and south america,balloon",en,92.201962,735099082,96.0,Up,7.7,6870,Up,"Ed Asner,Christopher Plummer,Jordan Nagai",Pete Docter,2009,5
175000000,"Animation,Family,Adventure",15512,"alien,giant robot,duringcreditsstinger",en,36.167578,381509870,94.0,Monsters vs Aliens,6.0,1423,Monsters vs Aliens,"Seth Rogen,Reese Witherspoon,Hugh Laurie",Conrad Vernon,2009,3
140000000,"Action,Science Fiction,Adventure",1726,"middle east,arms dealer,malibu",en,120.725053,585174222,126.0,Iron Man,7.4,8776,Iron Man,"Robert Downey Jr.,Terrence Howard,Jeff Bridges",Jon Favreau,2008,4
170000000,"Adventure,Drama,Family",44826,"library,clock,film director",en,32.319043,185770160,126.0,Hugo,7.0,2141,Hugo,"Ben Kingsley,Sacha Baron Cohen,Asa Butterfield",Martin Scorsese,2011,11
170000000,"Action,Adventure,Comedy",8487,"steampunk,based on tv series,steam locomotive",en,40.748915,222104681,106.0,Wild Wild West,5.1,1020,Wild Wild West,"Will Smith,Kevin Kline,Kenneth Branagh",Barry Sonnenfeld,1999,6
145000000,"Adventure,Action,Fantasy",1735,,en,60.034162,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,The Mummy: Tomb of the Dragon Emperor,"Brendan Fraser,Jet Li,John Hannah",Rob Cohen,2008,7
175000000,"Action,Adventure,Crime",297761,"dc comics,shared universe,anti hero",en,90.23792,745000000,123.0,Suicide Squad,5.9,7458,Suicide Squad,"Will Smith,Margot Robbie,Joel Kinnaman",David Ayer,2016,8
175000000,"Fantasy,Comedy,Family",2698,"father son relationship,daily life,married couple",en,27.082182,173000000,96.0,Evan Almighty,5.3,1151,Evan Almighty,"Steve Carell,Lauren Graham,John Goodman",Tom Shadyac,2007,6
178000000,"Action,Science Fiction",137113,"deja vu,time warp,restart",en,79.456485,370541256,113.0,Edge of Tomorrow,7.6,4858,Edge of Tomorrow,"Tom Cruise,Emily Blunt,Brendan Gleeson",Doug Liman,2014,5
175000000,"Adventure,Action",9804,"ocean,tattoo,mutant",en,44.640292,264218220,135.0,Waterworld,5.9,992,Waterworld,"Kevin Costner,Chaim Girafi,Rick Aviles",Kevin Reynolds,1995,7
175000000,"Adventure,Action,Thriller",14869,"terrorist,secret,hostage",en,32.852443,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,G.I. Joe: The Rise of Cobra,"Dennis Quaid,Channing Tatum,Marlon Wayans",Stephen Sommers,2009,8
175000000,"Drama,Comedy,Animation",150540,"dream,cartoon,imaginary friend",en,128.655964,857611174,94.0,Inside Out,8.0,6560,Inside Out,"Amy Poehler,Phyllis Smith,Richard Kind",Pete Docter,2015,6
175000000,"Family,Adventure,Drama",278927,"based on novel,snake,wolf",en,94.199316,966550600,106.0,The Jungle Book,6.7,2892,The Jungle Book,"Neel Sethi,Bill Murray,Ben Kingsley",Jon Favreau,2016,4
200000000,"Adventure,Action,Science Fiction",10138,"malibu,marvel comic,superhero",en,77.300194,623933331,124.0,Iron Man 2,6.6,6849,Iron Man 2,"Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle",Jon Favreau,2010,4
170000000,"Adventure,Fantasy,Drama",58595,"queen,magic,fairy tale",en,77.178973,396600000,127.0,Snow White and the Huntsman,5.8,3118,Snow White and the Huntsman,"Kristen Stewart,Charlize Theron,Chris Hemsworth",Rupert Sanders,2012,5
180000000,"Fantasy,Adventure,Action",102651,"fairy tale,villain,sleeping beauty",en,110.620647,758539785,97.0,Maleficent,7.0,4496,Maleficent,"Angelina Jolie,Elle Fanning,Sharlto Copley",Robert Stromberg,2014,5
170000000,"Science Fiction,Action,Drama",119450,"leader,colony,post-apocalyptic",en,243.791743,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,Dawn of the Planet of the Apes,"Andy Serkis,Jason Clarke,Gary Oldman",Matt Reeves,2014,6
175000000,"Drama,Action,Adventure",64686,"japan,suicide,samurai",en,41.796339,150962475,119.0,47 Ronin,5.9,1326,47 Ronin,"Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki",Carl Rinsch,2013,12
170000000,"Action,Adventure,Science Fiction",100402,"washington d.c.,future,shield",en,72.225265,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,Captain America: The Winter Soldier,"Chris Evans,Samuel L. Jackson,Scarlett Johansson",Anthony Russo,2014,3
165000000,"Comedy,Adventure,Fantasy",10192,"ogre,3d",en,44.041186,752600867,93.0,Shrek Forever After,6.0,1959,Shrek Forever After,"Mike Myers,Eddie Murphy,Cameron Diaz",Mike Mitchell,2010,5
190000000,"Adventure,Family,Mystery",158852,"inventor,apocalypse,destiny",en,130.311355,209154322,130.0,Tomorrowland,6.2,2846,Tomorrowland,"Britt Robertson,George Clooney,Raffey Cassidy",Brad Bird,2015,5
165000000,"Adventure,Family,Animation",177572,"brother brother relationship,hero,talent",en,203.73459,652105443,102.0,Big Hero 6,7.8,6135,Big Hero 6,"Scott Adsit,Ryan Potter,Daniel Henney",Chris Williams,2014,10
165000000,"Family,Animation,Comedy",82690,"support group,product placement,bullying",en,62.341073,471222889,108.0,Wreck-It Ralph,7.1,4570,Wreck-It Ralph,"John C. Reilly,Sarah Silverman,Jack McBrayer",Rich Moore,2012,11
165000000,"Adventure,Animation,Family",5255,"santa claus,nerd,faith",en,47.323228,305875730,100.0,The Polar Express,6.4,1474,The Polar Express,"Tom Hanks,Michael Jeter,Nona Gaye",Robert Zemeckis,2004,11
165000000,"Action,Adventure,Science Fiction",47933,"alternate history,alien invasion",en,48.775723,389681935,120.0,Independence Day: Resurgence,4.9,2491,Independence Day: Resurgence,"Liam Hemsworth,Jeff Goldblum,Bill Pullman",Roland Emmerich,2016,6
165000000,"Fantasy,Adventure,Animation",10191,"flying,blacksmith,arena",en,67.263269,494878759,98.0,How to Train Your Dragon,7.5,4227,How to Train Your Dragon,"Jay Baruchel,Gerard Butler,Craig Ferguson",Chris Sanders,2010,3
200000000,"Action,Thriller,Science Fiction",296,"saving the world,artificial intelligence,man vs machine",en,69.405188,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,Terminator 3: Rise of the Machines,"Arnold Schwarzenegger,Nick Stahl,Claire Danes",Jonathan Mostow,2003,7
170000000,"Action,Science Fiction,Adventure",118340,"marvel comic,spaceship,space",en,481.098624,773328629,121.0,Guardians of the Galaxy,7.9,9742,Guardians of the Galaxy,"Chris Pratt,Zoe Saldana,Dave Bautista",James Gunn,2014,7
165000000,"Adventure,Drama,Science Fiction",157336,"saving the world,artificial intelligence,father son relationship",en,724.247784,675120017,169.0,Interstellar,8.1,10867,Interstellar,"Matthew McConaughey,Jessica Chastain,Anne Hathaway",Christopher Nolan,2014,11
160000000,"Action,Thriller,Science Fiction",27205,"loss of lover,dream,kidnapping",en,167.58371,825532764,148.0,Inception,8.1,13752,Inception,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",Christopher Nolan,2010,7
15000000,"Action,Adventure,Drama",315011,"monster,godzilla,giant monster",ja,9.476999,77000000,120.0,Shin Godzilla,6.5,143,Shin Godzilla,"Hiroki Hasegawa,Yutaka Takenouchi,Satomi Ishihara",Hideaki Anno,2016,7
250000000,"Adventure,Fantasy,Action",49051,"riddle,elves,dwarves",en,108.849621,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,8297,The Hobbit: An Unexpected Journey,"Ian McKellen,Martin Freeman,Richard Armitage",Peter Jackson,2012,11
38000000,"Action,Crime,Thriller",9799,"street gang,car race,undercover",en,6.909942,207283925,106.0,The Fast and the Furious,6.6,3428,The Fast and the Furious,"Paul Walker,Vin Diesel,Michelle Rodriguez",Rob Cohen,2001,6
150000000,"Fantasy,Drama,Thriller",4922,"diary,navy,funeral",en,60.269279,333932083,166.0,The Curious Case of Benjamin Button,7.3,3292,The Curious Case of Benjamin Button,"Cate Blanchett,Brad Pitt,Tilda Swinton",David Fincher,2008,11
160000000,"Action,Science Fiction,Adventure",49538,"cia,mutant,mine",en,3.195174,353624124,132.0,X-Men: First Class,7.1,5181,X-Men: First Class,"James McAvoy,Michael Fassbender,Jennifer Lawrence",Matthew Vaughn,2011,5
160000000,"Action,Adventure,Science Fiction",131634,"revolution,strong woman,dystopia",en,127.284427,653428261,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,The Hunger Games: Mockingjay - Part 2,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",Francis Lawrence,2015,11
150000000,"Fantasy,Adventure,Action",27022,"witch,fire,wolf",en,35.580815,215283742,109.0,The Sorcerer's Apprentice,5.8,1470,The Sorcerer's Apprentice,"Nicolas Cage,Jay Baruchel,Monica Bellucci",Jon Turteltaub,2010,7
160000000,"Adventure,Action,Drama",503,"new year's eve,fire,drowning",en,21.133748,181674817,99.0,Poseidon,5.5,583,Poseidon,"Kurt Russell,Richard Dreyfuss,Josh Lucas",Wolfgang Petersen,2006,5
170000000,Fantasy,241259,"based on novel,clock,queen",en,56.268916,299370084,113.0,Alice Through the Looking Glass,6.5,1725,Alice Through the Looking Glass,"Johnny Depp,Mia Wasikowska,Anne Hathaway",James Bobin,2016,5
160000000,"Fantasy,Adventure,Animation",810,"ambush,sadness,stage",en,42.986467,798958165,93.0,Shrek the Third,6.0,2278,Shrek the Third,"Mike Myers,Eddie Murphy,Cameron Diaz",Chris Miller,2007,5
160000000,"Action,Adventure,Fantasy",68735,"video game,elves,orcs",en,63.148529,433677183,123.0,Warcraft,6.3,2268,Warcraft,"Paula Patton,Travis Fimmel,Ben Foster",Duncan Jones,2016,5
155000000,"Science Fiction,Action,Thriller",87101,"saving the world,artificial intelligence,cyborg",en,202.042635,440603537,126.0,Terminator Genisys,5.8,3631,Terminator Genisys,"Arnold Schwarzenegger,Jason Clarke,Emilia Clarke",Alan Taylor,2015,6
155000000,"Adventure,Family,Fantasy",10140,"based on novel,magic,good vs evil",en,49.661984,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,The Chronicles of Narnia: The Voyage of the Dawn Treader,"Skandar Keynes,Georgie Henley,Simon Pegg",Michael Apted,2010,8
140000000,"History,Romance,War",676,"nurse,patriotism,hawaii",en,34.20669,449220945,183.0,Pearl Harbor,6.6,1791,Pearl Harbor,"Ben Affleck,Josh Hartnett,Kate Beckinsale",Michael Bay,2001,5
150000000,"Adventure,Science Fiction,Action",1858,"destroy,transformation,alien",en,25.468493,709709780,144.0,Transformers,6.6,4040,Transformers,"Shia LaBeouf,Josh Duhamel,Megan Fox",Michael Bay,2007,6
155000000,"War,History,Action",1966,"aristotle,egypt,greece",en,39.019229,167298192,175.0,Alexander,5.6,927,Alexander,"Colin Farrell,Angelina Jolie,Val Kilmer",Oliver Stone,2004,11
150000000,"Adventure,Fantasy,Family",675,"prophecy,witch,loss of lover",en,78.144395,938212738,138.0,Harry Potter and the Order of the Phoenix,7.4,5494,Harry Potter and the Order of the Phoenix,"Daniel Radcliffe,Rupert Grint,Emma Watson",David Yates,2007,6
150000000,"Adventure,Fantasy,Family",674,"magic,dying and death,broom",en,101.250416,895921036,157.0,Harry Potter and the Goblet of Fire,7.5,5608,Harry Potter and the Goblet of Fire,"Daniel Radcliffe,Rupert Grint,Emma Watson",Mike Newell,2005,11
150000000,"Fantasy,Action",8960,"flying,alcohol,love of one's life",en,56.758411,624029371,92.0,Hancock,6.2,2961,Hancock,"Will Smith,Charlize Theron,Jason Bateman",Peter Berg,2008,7
150000000,"Drama,Horror,Action",6479,"saving the world,lost civilisation,post-apocalyptic",en,70.867401,585349010,101.0,I Am Legend,6.9,4853,I Am Legend,"Will Smith,Alice Braga,Charlie Tahan",Francis Lawrence,2007,12
150000000,"Adventure,Comedy,Family",118,"london england,father son relationship,chocolate",en,53.905592,474968763,115.0,Charlie and the Chocolate Factory,6.7,3624,Charlie and the Chocolate Factory,"Johnny Depp,Freddie Highmore,David Kelly",Tim Burton,2005,7
150000000,"Animation,Comedy,Family",2062,"paris,brother brother relationship,expensive restaurant",en,65.677399,623722818,111.0,Ratatouille,7.5,4369,Ratatouille,"Patton Oswalt,Ian Holm,Lou Romano",Jan Pinkava,2007,6
